,id,subject,text,classificacao,date,retweets,favorites,permalink
0,1.124513050218893e+18,marielle monkey,Marielle> BANDIDOS Narco-traficantes-Militias stepped on the PCC ball> Commander of the crime # PT's Arms #Criminal Organization Murdered by THIAGO- MACACO Midia to accuse those who destroyed the dream #GRANDEPATRIA @ECantanhede @CarvalhosaMo @CarlosBolsonaro @RenovMidiaITEFC .twitter.com / 8HTb0VVmj8,fake,2019-05-04 0:16,0,0,https://twitter.com/MRTT_/status/1124513050218893312
1,1.1240493710064764e+18,marielle monkey,"Well, the latest news about this is that Marielle's real killer is not those accused but an element code-named Macaco "". That is, he did not stick the Bolsonaro x Marielle relationship. Review his sources.""",fake,2019-05-02 17:33,0,0,https://twitter.com/EvaristoKlebber/status/1124049371006476293
5,1.119295029204398e+18,marielle monkey,@jornalnacional lived with news from Marielle for 3 months almost every day. Why did the reports stop? Just because it was discovered that your killer was Thiago monkey? Black slum and linked to trafficking? Bonemer vc is the supreme juice of the ridiculous.,fake,2019-04-19 14:41,0,0,https://twitter.com/luiztemper/status/1119295029204398080
10,1.1145825456252273e+18,marielle monkey,"Cesari Battisti confessed his crimes, the left was silent; MARIELLE's killer was discovered, the left fell silent and now Lulatro confessed, the left stuck his tongue where my monkey the cashew. Demagogues, hypocrites and Pharisees",fake,2019-04-06 14:36,0,0,https://twitter.com/GrimoaldoL/status/1114582545625227333
11,1.1132459115918624e+18,marielle monkey,[Agência Lupa] We verified: It is false that Thiago Macaco was identified as Marielle's murderer https: // piaui.folha.uol.com.br/lupa/2019/04/0 1 / we checked-marielle-imprisoned-thiago /…,true,2019-04-02 22:04,1,0,https://twitter.com/antmarobel/status/1113245911591862272
12,1.1132093046671072e+18,marielle monkey,UP IN THE AIR. Thiago Macaco is not accused by the police of murdering Marielle. https: // aosfatos.org/noticias/thiag the-monkey-is-not-accused-by-the-police-of-murdering-marielle /… pic.twitter.com/RucmWUvSoT,true,2019-04-02 19:39,10,16,https://twitter.com/aosfatos/status/1113209304667107329
14,1.1120133406861434e+18,marielle monkey,"Have you found out who sent it yet? Who did Marielle bother with, anyway? The link between trafficking and militias has always been known. Are you playing naive now? The news of thiago monkey is old.",true,2019-03-30 12:26,2,2,https://twitter.com/Zapata_Taco/status/1112013340686143488
15,1.1116401680989184e+18,marielle monkey,Thiago Macaco is arrested for involvement in the death of Marielle - Brazil - iG https: // ultimosegundo.ig.com.br/brasil/2018-05 -30 / marielle-franco-thiago-monkey.html…,fake,2019-03-29 11:44,3,3,https://twitter.com/pmmvander/status/1111640168098918400
16,1.111561080797569e+18,marielle monkey,"Shall we talk about Marielle? Why did you stop talking about her? Why did Thiago Macaco from the red, black, poor, drug dealer party confess? You are very naughty Boulos! https: // twitter.com/GuilhermeBoulo s / status / 1111372441551433728…",fake,2019-03-29 6:29,2,4,https://twitter.com/EgeuJunior/status/1111561080797569024
28,1.0781270796050472e+18,marielle monkey,"Bolsonarista killer is good hahahahahaha As for the death of this Marielle, Thiago Macaco (black and poor) is under arrest. Marielle was killed by the same killers that PSOL usually defends.",fake,2018-12-27 0:15,0,0,https://twitter.com/HubnerLobo/status/1078127079605047296
29,1.0773498751955272e+18,marielle monkey,"Whoever killed Marielle was a drug dealer named Tiago Macaco. Drug dealer. Bandit. You created Frankstein and he turned against you. But the police have to be blamed, don't they?",fake,2018-12-24 20:46,0,0,https://twitter.com/direitasalva/status/1077349875195527168
33,1.040670021440168e+18,marielle monkey,"Who killed Marielle? Answer: Thiago Macaco, black man, poor and linked to trafficking pic.twitter.com/3aRayciINB",fake,2018-09-14 15:34,0,1,https://twitter.com/DireitaTrends/status/1040670021440167942
